front,back
Wat is de hoofdstad van Albanien?,"Tirana<br><img src=""Albania.png"">"
Wat is de hoofdstad van Österreich?,"Wien<br><img src=""Austria.png"">"
Wat is de hoofdstad van Weißrussland?,"Minsk<br><img src=""Belarus.png"">"
Wat is de hoofdstad van Belgien?,"Brüssel<br><img src=""Belgium.png"">"
Wat is de hoofdstad van Bosnien und Herz.?,"Sarajevo<br><img src=""Bosnia and Herz..png"">"
Wat is de hoofdstad van Bulgarien?,"Sofia<br><img src=""Bulgaria.png"">"
Wat is de hoofdstad van Kroatien?,"Zagreb<br><img src=""Croatia.png"">"
Wat is de hoofdstad van Tschechien?,"Prag<br><img src=""Czechia.png"">"
Wat is de hoofdstad van Dänemark?,"Kopenhagen<br><img src=""Denmark.png"">"
Wat is de hoofdstad van Estland?,"Tallinn<br><img src=""Estonia.png"">"
Wat is de hoofdstad van Finnland?,"Helsinki<br><img src=""Finland.png"">"
Wat is de hoofdstad van Frankreich?,"Paris<br><img src=""France.png"">"
Wat is de hoofdstad van Deutschland?,"Berlin<br><img src=""Germany.png"">"
Wat is de hoofdstad van Griechenland?,"Athen<br><img src=""Greece.png"">"
Wat is de hoofdstad van Ungarn?,"Budapest<br><img src=""Hungary.png"">"
Wat is de hoofdstad van Island?,"Reykjavik<br><img src=""Iceland.png"">"
Wat is de hoofdstad van Irland?,"Dublin<br><img src=""Ireland.png"">"
Wat is de hoofdstad van Italien?,"Rom<br><img src=""Italy.png"">"
Wat is de hoofdstad van Kosovo?,"Pristina<br><img src=""Kosovo.png"">"
Wat is de hoofdstad van Lettland?,"Riga<br><img src=""Latvia.png"">"
Wat is de hoofdstad van Litauen?,"Vilnius<br><img src=""Lithuania.png"">"
Wat is de hoofdstad van Luxemburg?,"Luxemburg<br><img src=""Luxembourg.png"">"
Wat is de hoofdstad van Moldawien?,"Chișinău<br><img src=""Moldova.png"">"
Wat is de hoofdstad van Montenegro?,"Podgorica<br><img src=""Montenegro.png"">"
Wat is de hoofdstad van Niederlande?,"Amsterdam<br><img src=""Netherlands.png"">"
Wat is de hoofdstad van Nordmazedonien?,"Skopje<br><img src=""North Macedonia.png"">"
Wat is de hoofdstad van Norwegen?,"Oslo<br><img src=""Norway.png"">"
Wat is de hoofdstad van Polen?,"Warschau<br><img src=""Poland.png"">"
Wat is de hoofdstad van Portugal?,"Lissabon<br><img src=""Portugal.png"">"
Wat is de hoofdstad van Rumänien?,"Bukarest<br><img src=""Romania.png"">"
Wat is de hoofdstad van Serbien?,"Belgrad<br><img src=""Serbia.png"">"
Wat is de hoofdstad van Slowakei?,"Bratislava<br><img src=""Slovakia.png"">"
Wat is de hoofdstad van Slowenien?,"Ljubljana<br><img src=""Slovenia.png"">"
Wat is de hoofdstad van Spanien?,"Madrid<br><img src=""Spain.png"">"
Wat is de hoofdstad van Schweden?,"Stockholm<br><img src=""Sweden.png"">"
Wat is de hoofdstad van Schweiz?,"Bern<br><img src=""Switzerland.png"">"
Wat is de hoofdstad van Ukraine?,"Kiew<br><img src=""Ukraine.png"">"
Wat is de hoofdstad van Vereinigtes Königreich?,"London<br><img src=""United Kingdom.png"">"
